Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2010,PCG,Manufacturing,16.73," $13,841.00 "," $8,652.00 "," $1,099.00 ", $2.82 ," $4,213.00 "," $11,534.00 ", $(236.00),77.13%,1.1613,0.96%,2.42%,0.5%,7.94%,0.8604,0.96%,19424,1.64%
2009,PCG,Manufacturing,18.76," $13,399.00 "," $8,397.00 "," $1,220.00 ", $3.20 ," $4,051.00 "," $10,585.00 ", $308.00 ,83.03%,1.2063,1.17%,2.87%,0.6%,9.11%,-2.3808,1.17%,19425,-0.36%
2018,SHLDQ,Finance,0.04," $16,702.00 "," $3,527.00 ", $(383.00), $(3.57), $(52.00)," $(3,723.00)", $50.00 ,77.56%,-1.1099,1.03%,-5.27%,2.6%,-2.29%,3.0663,1.03%,89900,2.44%
2017,SHLDQ,Finance,0.37," $22,138.00 "," $4,686.00 "," $(2,221.00)", $(20.78)," $(1,610.00)"," $(3,824.00)", $48.00 ,106.73%,-1.0887,5.81%,-23.72%,88.5%,-10.03%,-13.9382,5.81%,140000,2.13%
2016,SHLDQ,Finance,1.11," $25,146.00 "," $5,810.00 "," $(1,129.00)", $(10.59), $(570.00)," $(1,956.00)", $(12.00),111.16%,-1.5215,5.77%,-9.95%,-74.2%,-4.49%,14.9014,5.77%,178000,1.26%
2015,SHLDQ,Finance,2.19," $31,198.00 "," $7,149.00 "," $(1,682.00)", $(15.82), $(889.00), $(945.00), $(775.00),104.79%,-3.9958,19.15%,-13.73%,-8.5%,-5.39%,-7.424,19.15%,196000,0.12%
2014,SHLDQ,Finance,3.51," $36,188.00 "," $8,755.00 "," $(1,365.00)", $(12.87), $(195.00)," $2,183.00 ", $457.00 ,109.46%,1.9464,-5.11%,-6.11%,-2.2%,-3.77%,-2.7683,-5.11%,226000,1.62%
2013,SHLDQ,Finance,4.9," $39,854.00 "," $10,514.00 ", $(930.00), $(8.78), $(8.00)," $3,172.00 ", $(139.00),110.11%,0.9836,-3.32%,-5.45%,-2.1%,-2.33%,4.5387,-3.32%,246000,1.46%
2012,SHLDQ,Finance,4.47," $41,567.00 "," $10,601.00 "," $(3,140.00)", $(29.40), $(648.00)," $4,341.00 ", $(612.00),111.20%,0.8047,-7.19%,-14.59%,-4.9%,-7.55%,-3.5464,-7.19%,264000,2.07%
2011,SHLDQ,Finance,3.39," $42,664.00 "," $11,664.00 ", $133.00 , $1.19 ," $1,306.00 "," $8,614.00 ", $(378.00),133.75%,0.3707,0.16%,0.57%,0.1%,0.31%,-12.4078,0.16%,280000,3.16%
2010,SHLDQ,Finance,8.22," $43,360.00 "," $11,986.00 ", $235.00 , $1.99 ," $1,561.00 "," $9,435.00 ", $384.00 ,130.18%,0.2655,0.30%,1.13%,0.3%,0.54%,5.4337,0.30%,290000,1.64%
2009,SHLDQ,Finance,8.98," $46,770.00 "," $12,652.00 ", $53.00 , $0.42 ," $1,283.00 "," $9,699.00 ", $(288.00),134.12%,0.301,0.10%,0.39%,0.1%,0.11%,4.5748,0.10%,291000,-0.36%
2022,MCD,FOOD,186.39," $23,182.60 "," $13,207.20 "," $6,177.40 ", $8.33 ," $11,241.60 "," $(6,003.40)"," $(1,871.60)",142.66%,-5.9805,-10.29%,12.25%,2.1%,26.65%,-2.1323,-10.29%,150000,8.00%
2021,MCD,FOOD,193.02," $23,222.90 "," $12,580.20 "," $7,545.20 ", $10.04 ," $12,224.10 "," $(4,601.00)"," $1,380.20 ",177.82%,-7.7424,-16.40%,14.01%,2.4%,32.49%,3.3857,-16.40%,200000,4.70%
2020,MCD,FOOD,200.31," $19,207.80 "," $9,752.10 "," $4,730.50 ", $6.31 ," $9,075.40 "," $(7,824.90)"," $2,470.40 ",101.00%,-4.7848,-6.05%,8.99%,1.7%,24.63%,-1.4852,-6.05%,200000,1.23%
2019,MCD,FOOD,159.89," $21,364.40 "," $11,179.40 "," $6,025.40 ", $7.88 ," $10,687.70 "," $(8,210.30)", $56.20 ,98.26%,-4.1627,-7.34%,12.68%,2.3%,28.20%,2.1046,-7.34%,205000,1.81%
2018,MCD,FOOD,148.82," $21,257.90 "," $10,832.60 "," $5,924.30 ", $7.54 ," $10,304.60 "," $(6,258.40)"," $(1,438.00)",136.31%,-4.9654,-9.47%,18.06%,2.4%,27.87%,0.8436,-9.47%,210000,2.44%
2017,MCD,FOOD,136.89," $22,820.40 "," $10,620.80 "," $5,192.30 ", $6.37 ," $10,916.10 "," $(3,268.00)", $802.40 ,184.29%,-9.0381,-15.89%,15.36%,2.0%,22.75%,-0.2793,-15.89%,235000,2.13%
2016,MCD,FOOD,137.21," $24,621.90 "," $10,204.70 "," $4,686.50 ", $5.44 ," $9,261.00 "," $(2,204.30)"," $(6,184.40)",139.80%,-11.775,-21.26%,15.11%,2.0%,19.03%,-0.21,-21.26%,375000,1.26%
2015,MCD,FOOD,101.08," $25,413.00 "," $9,789.20 "," $4,529.30 ", $4.80 ," $8,701.20 "," $7,087.90 "," $5,854.40 ",326.84%,3.4033,6.39%,11.94%,1.5%,17.82%,0.9354,6.39%,420000,0.12%
2014,MCD,FOOD,108.48," $27,441.30 "," $10,455.70 "," $4,757.80 ", $4.82 ," $9,593.70 "," $12,853.40 ", $(192.90),152.32%,1.162,3.70%,13.90%,1.7%,17.34%,0.0221,3.70%,420000,1.62%
2013,MCD,FOOD,91.19," $28,105.70 "," $10,902.70 "," $5,585.90 ", $5.55 ," $10,349.40 "," $16,009.70 ", $403.90 ,159.31%,0.8826,3.49%,15.25%,1.9%,19.87%,0.4311,3.49%,440000,1.46%
2012,MCD,FOOD,96.55," $27,567.00 "," $10,816.30 "," $5,464.80 ", $5.36 ," $10,093.10 "," $15,293.60 ", $(51.00),144.64%,0.8914,3.57%,15.44%,1.9%,19.82%,-0.3911,3.57%,440000,2.07%
2011,MCD,FOOD,88.56," $27,006.00 "," $10,686.60 "," $5,503.10 ", $5.27 ," $9,944.70 "," $14,390.20 ", $46.20 ,125.47%,0.8687,3.82%,16.68%,2.1%,20.38%,0.3369,3.82%,420000,3.16%
2010,MCD,FOOD,102.66," $24,074.60 "," $9,637.30 "," $4,946.30 ", $4.58 ," $8,749.30 "," $14,634.20 ", $556.90 ,149.37%,0.7862,3.38%,15.47%,1.9%,20.55%,0.463,3.38%,400000,1.64%
2009,MCD,FOOD,81.1," $22,744.70 "," $8,791.80 "," $4,551.00 ", $4.11 ," $8,057.20 "," $14,033.90 ", $(325.30),114.31%,0.7538,3.24%,15.06%,1.9%,20.01%,3.4305,3.24%,385000,-0.36%
2022,BCS,BANK,32.53," $30,868.08 "," $30,868.08 "," $6,212.95 ", $1.47 , $1.00 ," $85,667.70 "," $11,446.27 ",100.00%,7.1602,0.86%,0.39%,0.1%,21.16%,-6.5477,0.86%,87400,8.00%
2021,BCS,BANK,43.6," $30,169.69 "," $30,169.69 "," $8,766.26 ", $2.01 , $1.00 ," $96,547.15 "," $73,287.33 ",100.00%,6.3396,1.03%,0.52%,0.2%,28.22%,-1.4283,1.03%,81600,4.70%
2020,BCS,BANK,34.66," $27,947.54 "," $27,947.54 "," $1,959.38 ", $0.44 , $1.00 ," $85,876.48 "," $53,749.53 ",100.00%,6.0327,0.37%,0.18%,0.1%,9.01%,20.4341,0.37%,83000,1.23%
2019,BCS,BANK,40.78," $27,621.90 "," $27,621.90 "," $4,180.57 ", $0.72 , $1.00 ," $83,841.26 "," $(31,195.95)",100.00%,5.3348,0.51%,0.29%,0.1%,16.60%,-6.2895,0.51%,80800,1.81%
2018,BCS,BANK,31.68," $28,212.33 "," $28,212.33 "," $1,860.71 ", $0.49 , $1.00 ," $85,132.21 "," $3,195.51 ",100.00%,5.8975,0.37%,0.21%,0.1%,7.09%,-15.5712,0.37%,83500,2.44%
2017,BCS,BANK,45.79," $27,162.75 "," $27,162.75 "," $(2,477.07)", $(0.57), $1.00 ," $85,081.42 "," $83,996.25 ",100.00%,5.2797,0.20%,0.11%,0.0%,-10.26%,14.5974,0.20%,79900,2.13%
2016,BCS,BANK,46.21," $29,072.54 "," $29,072.54 "," $2,373.13 ", $0.56 , $1.00 ," $96,720.98 "," $63,259.99 ",100.00%,3.5002,0.31%,0.18%,0.1%,9.18%,-2.4382,0.31%,119300,1.26%
2015,BCS,BANK,53.45," $38,919.16 "," $38,919.16 ", $(495.40), $(0.12), $1.00 ," $100,706.10 "," $11,089.83 ",100.00%,3.6646,0.09%,0.06%,0.0%,-1.39%,9.9996,0.09%,129400,0.12%
2014,BCS,BANK,60.47," $41,677.15 "," $41,677.15 ", $(197.77), $(0.05), $1.00 ," $108,705.40 "," $(4,687.19)",100.00%,5.0612,0.13%,0.06%,0.0%,-0.52%,6.6557,0.13%,132300,1.62%
2013,BCS,BANK,55.49," $43,712.69 "," $43,712.69 ", $846.56 , $0.23 , $1.00 ," $100,067.40 "," $(65,579.19)",100.00%,6.6208,0.20%,0.10%,0.1%,2.18%,-3.8585,0.20%,139600,1.46%
2012,BCS,BANK,52.82," $46,036.06 "," $46,036.06 "," $(1,650.09)", $(0.54), $1.00 ," $99,793.14 "," $(37,498.71)",100.00%,7.688,-0.04%,-0.02%,0.0%,-4.09%,-21.998,-0.04%,139200,2.07%
2011,BCS,BANK,33.47," $48,866.82 "," $48,866.82 "," $6,338.98 ", $1.54 , $1.00 ," $104,600.50 "," $34,022.91 ",100.00%,7.6045,0.46%,0.19%,0.1%,12.24%,6.1199,0.46%,141100,3.16%
2010,BCS,BANK,47.13," $49,030.07 "," $49,030.07 "," $7,034.11 ", $1.84 , $1.00 ," $96,275.73 "," $20,438.99 ",100.00%,9.3328,0.61%,0.25%,0.2%,14.47%,-12.8733,0.61%,147500,1.64%
2009,BCS,BANK,36.84," $45,992.04 "," $45,992.04 "," $5,497.87 ", $5.12 , $1.00 ," $91,570.70 "," $82,515.10 ",100.00%,8.5152,1.95%,0.83%,0.5%,12.06%,21.5535,1.95%,144200,-0.36%
2023,NVDA,ELEC,1000.35," $26,974.00 "," $15,356.00 "," $4,368.00 ", $1.74 ," $5,768.00 "," $22,101.00 "," $1,399.00 ",351.56%,0.4956,1.98%,10.61%,1.4%,16.19%,-1.689,1.98%,26196,3.70%
2022,NVDA,ELEC,359.5," $26,914.00 "," $17,475.00 "," $9,752.00 ", $3.85 ," $11,215.00 "," $26,612.00 "," $1,143.00 ",665.03%,0.4113,3.66%,22.07%,2.6%,36.23%,1.3378,3.66%,22473,8.00%
2021,NVDA,ELEC,735.86," $16,675.00 "," $10,396.00 "," $4,332.00 ", $1.73 ," $5,630.00 "," $16,893.00 "," $(10,049.00)",409.04%,0.4122,2.56%,15.05%,1.9%,25.98%,0.1419,2.56%,18975,4.70%
2020,NVDA,ELEC,323.24," $10,918.00 "," $6,768.00 "," $2,796.00 ", $1.13 ," $3,227.00 "," $12,204.00 "," $10,114.00 ",767.38%,0.1631,2.29%,16.15%,2.0%,25.61%,0.471,2.29%,13775,1.23%
2019,NVDA,ELEC,144," $11,716.00 "," $7,171.00 "," $4,141.00 ", $1.66 ," $4,066.00 "," $9,342.00 "," $(3,220.00)",794.36%,0.2128,4.43%,31.15%,3.7%,35.34%,0.1057,4.43%,13277,1.81%
2018,NVDA,ELEC,81.44," $9,714.00 "," $5,822.00 "," $3,047.00 ", $1.21 ," $3,409.00 "," $7,471.00 "," $2,236.00 ",802.69%,0.2677,4.08%,27.11%,3.2%,31.37%,0.5725,4.08%,11528,2.44%
2017,NVDA,ELEC,117.26," $6,910.00 "," $4,063.00 "," $1,666.00 ", $0.64 ," $2,121.00 "," $5,762.00 "," $1,170.00 ",477.40%,0.4877,2.89%,16.93%,2.1%,24.11%,0.0975,2.89%,10299,2.13%
2016,NVDA,ELEC,57.53," $5,010.00 "," $2,811.00 ", $614.00 , $0.27 , $973.00 ," $4,469.00 ", $99.00 ,257.46%,0.3379,1.37%,8.33%,1.3%,12.26%,0.124,1.37%,9227,1.26%
2015,NVDA,ELEC,17.73," $4,682.00 "," $2,599.00 ", $631.00 , $0.28 ," $1,007.00 "," $4,418.00 ", $(655.00),637.61%,0.3164,1.43%,8.76%,1.1%,13.48%,0.1033,1.43%,9228,0.12%
2014,NVDA,ELEC,10.9," $4,130.00 "," $2,268.00 ", $440.00 , $0.19 , $740.00 ," $4,456.40 ", $419.00 ,594.90%,0.3083,0.99%,6.07%,0.8%,10.65%,-0.0022,0.99%,8808,1.62%
2013,NVDA,ELEC,9.11," $4,280.16 "," $2,226.34 ", $562.54 , $0.23 , $874.47 ," $4,827.70 ", $64.91 ,489.16%,0.0039,1.17%,8.77%,1.2%,13.14%,-0.0561,1.17%,7974,1.46%
2012,NVDA,ELEC,7.66," $3,997.93 "," $2,056.52 ", $581.09 , $0.24 , $852.50 ," $4,145.72 ", $2.51 ,419.95%,0.0052,1.40%,10.46%,1.4%,14.53%,0.0671,1.40%,7133,2.07%
2011,NVDA,ELEC,8.46," $3,543.31 "," $1,409.09 ", $253.15 , $0.11 , $442.74 ," $3,181.46 ", $218.14 ,342.32%,0.0074,0.80%,5.63%,0.8%,7.14%,0.0588,0.80%,6029,3.16%
2010,NVDA,ELEC,8.95," $3,326.45 "," $1,176.92 ", $(67.99), $(0.03), $97.72 ," $2,665.14 ", $29.53 ,316.28%,0.0092,-0.26%,-1.90%,-0.3%,-2.04%,0.2588,-0.26%,5706,1.64%
2009,NVDA,ELEC,10.37," $3,424.86 "," $1,174.27 ", $(30.04), $(0.01), $114.32 ," $2,394.65 ", $(309.28),278.45%,0.0107,-0.13%,-0.90%,-0.1%,-0.88%,-0.0722,-0.13%,5420,-0.36%
2022,INTC,ELEC,109.08," $63,054.00 "," $26,866.00 "," $8,014.00 ", $1.94 ," $15,369.00 "," $103,286.00 "," $6,317.00 ",156.76%,0.4071,0.78%,4.40%,0.6%,12.71%,-4.564,0.78%,131900,8.00%
2021,INTC,ELEC,209.45," $79,024.00 "," $43,815.00 "," $19,868.00 ", $4.86 ," $31,248.00 "," $95,391.00 "," $(1,038.00)",213.23%,0.3994,2.08%,11.80%,1.5%,25.14%,-2.8278,2.08%,121100,4.70%
2020,INTC,ELEC,104.16," $77,867.00 "," $43,612.00 "," $20,899.00 ", $4.94 ," $35,917.00 "," $81,038.00 "," $1,671.00 ",190.87%,0.4492,2.58%,13.65%,1.8%,26.84%,1.2739,2.58%,110600,1.23%
2019,INTC,ELEC,260.35," $71,965.00 "," $42,140.00 "," $21,048.00 ", $4.71 ," $32,861.00 "," $77,504.00 "," $1,175.00 ",140.02%,0.3742,2.72%,15.42%,2.0%,29.25%,0.7539,2.72%,110800,1.81%
2018,INTC,ELEC,214.19," $70,848.00 "," $43,737.00 "," $21,053.00 ", $4.48 ," $32,401.00 "," $74,563.00 ", $(414.00),173.14%,0.3535,2.82%,16.45%,2.1%,29.72%,0.8946,2.82%,107400,2.44%
2017,INTC,ELEC,216.03," $62,761.00 "," $39,098.00 "," $9,601.00 ", $1.99 ," $26,179.00 "," $69,019.00 "," $(2,127.00)",169.34%,0.3885,1.39%,7.79%,1.0%,15.30%,-0.3622,1.39%,102700,2.13%
2016,INTC,ELEC,171.88," $59,387.00 "," $36,233.00 "," $10,316.00 ", $2.12 ," $20,923.00 "," $66,226.00 "," $(9,748.00)",174.90%,0.3818,1.56%,9.10%,1.2%,17.37%,0.1101,1.56%,106000,1.26%
2015,INTC,ELEC,162.57," $55,355.00 "," $34,679.00 "," $11,420.00 ", $2.33 ," $22,713.00 "," $61,085.00 "," $12,747.00 ",244.92%,0.3711,1.87%,11.26%,1.4%,20.63%,0.3492,1.87%,107300,0.12%
2014,INTC,ELEC,175.46," $55,870.00 "," $35,609.00 "," $11,704.00 ", $2.31 ," $23,896.00 "," $55,865.00 "," $(3,098.00)",173.19%,0.2444,2.10%,12.74%,1.7%,20.95%,0.0651,2.10%,106700,1.62%
2013,INTC,ELEC,129.02," $52,708.00 "," $31,521.00 "," $9,620.00 ", $1.89 ," $20,323.00 "," $58,256.00 "," $(2,795.00)",236.47%,0.2308,1.65%,10.42%,1.3%,18.25%,0.452,1.65%,107600,1.46%
2012,INTC,ELEC,102.61," $53,341.00 "," $33,151.00 "," $11,005.00 ", $2.13 ," $22,160.00 "," $51,203.00 "," $3,416.00 ",243.12%,0.2626,2.15%,13.05%,1.7%,20.63%,-0.3622,2.15%,105000,2.07%
2011,INTC,ELEC,123.48," $53,999.00 "," $33,757.00 "," $12,942.00 ", $2.39 ," $23,541.00 "," $45,911.00 ", $(438.00),215.10%,0.1597,2.82%,18.20%,2.4%,23.97%,-0.1314,2.82%,100100,3.16%
2010,INTC,ELEC,117.31," $43,623.00 "," $28,491.00 "," $11,464.00 ", $2.01 ," $20,226.00 "," $49,430.00 "," $1,511.00 ",338.92%,0.0428,2.32%,18.14%,2.2%,26.28%,0.8374,2.32%,82500,1.64%
2009,INTC,ELEC,112.65," $35,127.00 "," $19,561.00 "," $4,369.00 ", $0.77 ," $10,763.00 "," $41,704.00 ", $637.00 ,278.71%,0.0533,1.05%,8.23%,1.0%,12.44%,1.1789,1.05%,79800,-0.36%
2022,AMZN,LOGI,856.94," $513,983.00 "," $225,152.00 "," $(2,722.00)", $(0.27)," $54,169.00 "," $146,043.00 "," $18,869.00 ",94.46%,0.4598,-0.19%,-0.59%,-0.1%,-0.53%,-0.2546,-0.19%,1541000,8.00%
2021,AMZN,LOGI,1691," $469,822.00 "," $197,478.00 "," $33,364.00 ", $3.24 ," $59,312.00 "," $138,245.00 "," $(5,536.00)",113.58%,0.3526,2.41%,7.93%,1.8%,7.10%,-3.9226,2.41%,1608000,4.70%
2020,AMZN,LOGI,1634.16," $386,064.00 "," $152,757.00 "," $21,331.00 ", $2.09 ," $48,079.00 "," $93,404.00 "," $5,349.00 ",105.02%,0.3406,2.28%,6.64%,1.7%,5.53%,0.4798,2.28%,1298000,1.23%
2019,AMZN,LOGI,916.15," $280,522.00 "," $114,986.00 "," $11,588.00 ", $1.15 ," $36,330.00 "," $62,060.00 "," $4,167.00 ",109.70%,0.3773,1.87%,5.14%,1.4%,4.13%,0.622,1.87%,798000,1.81%
2018,AMZN,LOGI,734.42," $232,887.00 "," $93,731.00 "," $10,073.00 ", $1.01 ," $27,762.00 "," $43,549.00 "," $10,668.00 ",109.81%,0.5395,2.31%,6.19%,1.5%,4.33%,1.0975,2.31%,647500,2.44%
2017,AMZN,LOGI,563.54," $177,866.00 "," $65,932.00 "," $3,033.00 ", $0.31 ," $15,584.00 "," $27,709.00 "," $1,209.00 ",104.00%,0.893,1.09%,2.31%,0.6%,1.71%,-0.2387,1.09%,566000,2.13%
2016,AMZN,LOGI,356.31," $135,987.00 "," $47,722.00 "," $2,371.00 ", $0.25 ," $12,302.00 "," $19,285.00 "," $3,971.00 ",104.48%,0.399,1.23%,2.84%,0.9%,1.74%,0.3003,1.23%,341400,1.26%
2015,AMZN,LOGI,316.83," $107,006.00 "," $35,355.00 ", $596.00 , $0.06 ," $8,514.00 "," $13,384.00 "," $1,707.00 ",105.36%,0.6147,0.45%,0.92%,0.3%,0.56%,0.57,0.45%,230800,0.12%
2014,AMZN,LOGI,143.7," $88,988.00 "," $26,236.00 ", $(241.00), $(0.03)," $4,924.00 "," $10,741.00 "," $6,209.00 ",111.53%,0.7695,-0.22%,-0.44%,-0.1%,-0.27%,-0.0075,-0.22%,154100,1.62%
2013,AMZN,LOGI,182.54," $74,452.00 "," $20,271.00 ", $274.00 , $0.03 ," $3,998.00 "," $9,746.00 ", $660.00 ,107.16%,0.3274,0.28%,0.68%,0.2%,0.37%,0.1748,0.28%,117300,1.46%
2012,AMZN,LOGI,113.63," $61,093.00 "," $15,122.00 ", $(39.00), $(0.00)," $2,835.00 "," $8,192.00 "," $2,844.00 ",112.07%,0.3765,-0.05%,-0.12%,0.0%,-0.06%,-0.1833,-0.05%,88400,2.07%
2011,AMZN,LOGI,78.72," $48,077.00 "," $10,789.00 ", $631.00 , $0.07 ," $1,945.00 "," $7,757.00 "," $1,491.00 ",117.41%,0.0329,0.81%,2.50%,0.8%,1.31%,-0.049,0.81%,56200,3.16%
2010,AMZN,LOGI,80.79," $34,204.00 "," $7,643.00 "," $1,152.00 ", $0.13 ," $1,974.00 "," $6,864.00 ", $316.00 ,132.54%,0.2274,1.68%,6.13%,1.4%,3.37%,-0.0544,1.68%,33700,1.64%
2009,AMZN,LOGI,58.24," $24,509.00 "," $5,531.00 ", $902.00 , $0.10 ," $1,507.00 "," $5,257.00 ", $676.00 ,133.04%,0.2007,1.72%,6.53%,1.7%,3.68%,0.3303,1.72%,24300,-0.36%
